"ETHNICITY","Ethnic group","YEAR","Year","SEX","Sex","AREA","Area","AGE","Age group",Value,Flags
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1120","Clevedon","999999","Total people - age group",555,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1121","Waiuku","999999","Total people - age group",7458,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1122","Patumahoe Village","999999","Total people - age group",555,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1123","Paerata","999999","Total people - age group",447,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1128","Coromandel","999999","Total people - age group",1494,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1129","Whangapoua","999999","Total people - age group",54,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1130","Matarangi","999999","Total people - age group",252,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1131","Rings Beach","999999","Total people - age group",120,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1136","Cooks Beach-Ferry Landing","999999","Total people - age group",315,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1137","Waiomu","999999","Total people - age group",387,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1138","Other rural Thames-Coromandel District","999999","Total people - age group",4887,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1139","Te Puru","999999","Total people - age group",540,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1140","Thornton Bay-Ngarimu Bay","999999","Total people - age group",315,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1145","Puriri","999999","Total people - age group",222,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1146","Onemana","999999","Total people - age group",129,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1147","Whangamata","999999","Total people - age group",3561,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1148","Kaiaua","999999","Total people - age group",339,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1153","Paeroa","999999","Total people - age group",3891,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1154","Karangahake","999999","Total people - age group",318,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1155","Whiritoa","999999","Total people - age group",198,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1156","Waikino","999999","Total people - age group",288,
